Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA12,EMA26,MACD,Date
1480.0,1500.0,1465.0,1495.0,795238,0.0,0.0,1457.1009736407543,1380.675922409603,76.42505123115143,2023-11-22 00:00:00
1510.0,1550.0,1495.0,1505.0,1101120,0.0,0.0,1464.4700546190998,1389.885113342225,74.58494127687482,2023-11-23 00:00:00
1510.0,1530.0,1450.0,1450.0,882392,0.0,0.0,1462.2438923700074,1394.3380679094676,67.90582446053986,2023-11-24 00:00:00
1465.0,1475.0,1420.0,1425.0,729487,0.0,0.0,1456.5140627746216,1396.6093221383958,59.904740636225824,2023-11-27 00:00:00
1475.0,1515.0,1445.0,1490.0,1313367,0.0,0.0,1461.66574542468,1403.5271501281443,58.13859529653564,2023-11-28 00:00:00
1485.0,1515.0,1435.0,1455.0,1512324,0.0,0.0,1460.6402461285752,1407.339953822356,53.30029230621926,2023-11-29 00:00:00
1465.0,1470.0,1425.0,1440.0,881110,0.0,0.0,1457.4648236472558,1409.7592165021815,47.70560714507428,2023-11-30 00:00:00
1490.0,1535.0,1480.0,1515.0,2238430,0.0,0.0,1466.3163892399857,1417.5548300946125,48.76155914537321,2023-12-01 00:00:00
1530.0,1540.0,1465.0,1470.0,1245125,0.0,0.0,1466.8830985876803,1421.4396574950117,45.443441092668536,2023-12-04 00:00:00
1450.0,1475.0,1435.0,1435.0,683193,0.0,0.0,1461.9780064972679,1422.444127310196,39.53387918707176,2023-12-05 00:00:00
1455.0,1490.0,1440.0,1470.0,645138,0.0,0.0,1463.2121593438421,1425.9667845464778,37.24537479736432,2023-12-06 00:00:00
1470.0,1510.0,1420.0,1505.0,1560345,0.0,0.0,1469.6410579063281,1431.8210968022943,37.81996110403384,2023-12-07 00:00:00
1550.0,1605.0,1540.0,1570.0,2130570,0.0,0.0,1485.0808951515082,1442.0565711132353,43.02432403827288,2023-12-08 00:00:00
1570.0,1595.0,1530.0,1550.0,719316,0.0,0.0,1495.0684497435839,1450.052380660403,45.01606908318081,2023-12-11 00:00:00
1580.0,1615.0,1570.0,1590.0,1218161,0.0,0.0,1509.6733036291862,1460.4188709818548,49.25443264733144,2023-12-12 00:00:00
1625.0,1740.0,1615.0,1725.0,2503393,0.0,0.0,1542.8004876862346,1480.017473131347,62.783014554887586,2023-12-13 00:00:00
1740.0,1765.0,1675.0,1685.0,1452505,0.0,0.0,1564.6773357345062,1495.2013640105065,69.47597172399969,2023-12-14 00:00:00
1700.0,1710.0,1630.0,1635.0,800996,0.0,0.0,1575.4962071599666,1505.5568185282468,69.9393886317198,2023-12-15 00:00:00
1620.0,1670.0,1615.0,1640.0,564191,0.0,0.0,1585.4198675968948,1515.5155727113397,69.90429488555515,2023-12-18 00:00:00
1630.0,1650.0,1605.0,1645.0,485210,0.0,0.0,1594.5860418127572,1525.107011769759,69.47903004299815,2023-12-19 00:00:00
1650.0,1660.0,1620.0,1630.0,703063,0.0,0.0,1600.034343072333,1532.8768627497768,67.15748032255624,2023-12-20 00:00:00
1620.0,1690.0,1605.0,1680.0,763314,0.0,0.0,1612.3367518304358,1543.77487291646,68.56187891397576,2023-12-21 00:00:00
